Clinic,Address,City,State,Zip,Treatment center,Detection center,Earliest facility asset created date,Earliest provider asset created date,Earliest any public asset created date,Cross-check assessment,Facility asset count,Provider photo asset count,Date source,Phone,Website,Providers
Minnesota Eye Consultants - Minnetonka,"10709 Wayzata Blvd / Suite 200, Minnetonka, MN 55305",Minnetonka,MN,55305,Yes,Yes,2026-04-30,,2026-04-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16576795346,https://www.mneye.com,
Minnesota Eye Consultants - Woodbury,"7125 Tamarack Road, Woodbury, MN 55125",Woodbury,MN,55125,Yes,Yes,2026-06-08,,2026-06-08,Facility asset only,4,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16126827436,https://www.mneye.com/locations/woodbury,
Mission Cataract and LASIK,"23103 West Interstate 10 / Suite 105, San Antonio, TX 78257",San Antonio,TX,78257,Yes,Yes,2026-04-10,,2026-04-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12108796478,https://www.missioncataract.com/,Bobby Saenz OD
Mission Cataract and LASIK- Pearsall Location,"105 East Hackberry Street Suite, Pearsall, TX 78061",Pearsall,TX,78061,No,Yes,2026-05-12,,2026-05-12,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18302834199,,
Mission Cataract and LASIK- Uvalde,"1038 Garner Field Road, Uvalde, TX 78801",Uvalde,TX,78801,No,Yes,2026-05-12,2026-05-12,2026-05-12,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18304553156,,Bobby Saenz
Mission Cataract and LASIK-Hill Country,"708 Hill Country Drive, Kerrville, TX 78028",Kerrville,TX,78028,No,Yes,2026-05-12,2026-05-12,2026-05-12,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18303964893,https://www.missioncataract.com,Bobby Seanz
Mission Cataract and LASIK-Water Street,"237 West Water Street, Kerrville, TX 78028",Kerrville,TX,78028,No,Yes,2026-05-12,2026-05-12,2026-05-12,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18303550725,https://www.missioncataract.com/,Bobby Saenz
"Mona Sane, MD - iSight Care","289 S. SAN ANTONIO RD, SUITE 110, Los Altos, CA 94022",Los Altos,CA,94022,Yes,No,2026-05-05,,2026-05-05,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16506286186,,
Mt. View EyeCare Center,"1405 Southeast 164th Avenue, Vancouver, WA 98683",Vancouver,WA,98683,No,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13603024961,,
My Eye Dr.,"1415 Wooten Lake Road Northwest  Suite 100, Kennesaw, GA 30144",Kennesaw,GA,30144,No,Yes,2026-04-08,,2026-04-08,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17707387334,,Ryan Tieu OD
MyEyeDr.- Mountainbrook,"2737 U.S. 280, Mountain Brook, AL 35223",Mountain Brook,AL,35223,No,Yes,2026-04-22,2026-04-22,2026-04-22,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12059646911,locations@myeyedr.com,Brooke Kaplan
Nielsen Eye Center,"141 Longwater Drive, Norwell, MA 02061",Norwell,MA,02061,No,Yes,2026-07-10,2026-07-10,2026-07-10,Strong: facility/provider asset dates within 7 days,1,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13506004955,https://www.golasik.net/medical-surgical/crosslinking-and-keratoconus/,Helen Moreira MD; Nitasha Khanna MD; Maria Lopez MD
Nielsen Eye Center,"541 Main Street, Weymouth, MA 02190",Weymouth,MA,02190,No,Yes,2026-07-10,,2026-07-10,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15672685279,https://www.golasik.net/medical-surgical/crosslinking-and-keratoconus/,
Nielsen Eye Center,"95 Chapel Street, Norwood, MA 02062",Norwood,MA,02062,No,Yes,2026-07-10,2026-07-10,2026-07-10,Strong: facility/provider asset dates within 7 days,2,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16056085014,https://www.golasik.net/medical-surgical/crosslinking-and-keratoconus/,Helen Moreira MD; Nitasha Khanna MD; Maria Lopez MD
Normandy Optical - Sterling Heights,"36838 Ryan Road, Sterling Heights, MI 48310",Sterling Heights,MI,48310,No,Yes,2026-05-22,,2026-05-22,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15868004114,https://www.normandyoptical.com/locations/sterling-heights,
Normandy Optical - West Bloomfield,"6891 Orchard Lake Road, West Bloomfield Township, MI 48322",West Bloomfield Township,MI,48322,No,Yes,2026-05-22,,2026-05-22,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15172101707,https://www.normandyoptical.com/locations/west-bloomfield,
North Georgia Eye Associates,"2061 Beverly Road, Gainesville, GA 30501",Gainesville,GA,30501,Yes,Yes,2026-04-16,,2026-04-16,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12184057974,https://northgeorgiaeye.com/,Elizabeth Ellison; Pamela Martin; Bhairavi Dholakia
Northeastern Eye Institute,"200 Mifflin Ave, Scranton, PA 18503",Scranton,PA,18503,Yes,Yes,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15707084269,https://www.neivision.com/scranton.html,Thomas Boland
Northeastern State University,"870 E. Crafton St, Tahlequah, OK 74464",Tahlequah,OK,74464,Yes,Yes,2026-06-23,2026-06-23,2026-06-23,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19182576492,https://www.nsuok.edu:443/,Nate Lighthizer
Northwest Eye,"250 North Central Ave North / Ste 107, Wayzata, MN 55391",Wayzata,MN,55391,No,Yes,2026-05-05,,2026-05-05,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17632960593,https://nweyeclinic.com/locations/wayzata,
Northwest Eye Surgeons,"332 NE NORTHGATE WAY, Seattle, WA 98125",Seattle,WA,98125,No,Yes,2026-06-02,,2026-06-02,Facility asset only,4,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12067610425,https://www.nweyes.com/locations/seattle-northgate,
Northwest Eye Surgeons - Mount Vernon,"1306 Roosevelt Avenue, Mount Vernon, WA 98273",Mount Vernon,WA,98273,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13608735760,nweyes.com,
Northwest Eye Surgeons - Renton,"1412 Southwest 43rd Street, Renton, WA 98057",Renton,WA,98057,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14257282311,nweyes.com,
Northwest Eye Surgeons - Sequim,"795 North 5th Avenue, Sequim, WA 98382",Sequim,WA,98382,No,Yes,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13609972272,nweyes.com,
NVISION - Tigard,"7000 SW Redwood Lane, Tigard, OR 97224",Tigard,OR,97224,Yes,Yes,2026-05-14,,2026-05-14,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13612668299,www.nvisioncenters.com,
NVISION Eye Centers- Fullerton,"1400 N. Harbor Blvd., Fullerton, CA 92835",Fullerton,CA,92835,Yes,No,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16822974188,https://www.nvisioncenters.com/locations/orange-county/nvision-fullerton/?utm_source=organic&utm_medium=gmb&utm_campaign=website_gmb,
NVISION Eye Centers- La Jolla,"3655 Nobel Dr / Suite 130, San Diego, CA 92122",San Diego,CA,92122,Yes,No,2026-05-30,,2026-05-30,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19412144680,https://www.nvisioncenters.com/locations/san-diego/nvision-la-jolla,
NVISION Eye Centers- Murrieta,"25485 Medical Center Dr / Ste 212, Murrieta, CA 92562",Murrieta,CA,92562,Yes,No,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12602365923,https://www.nvisioncenters.com/locations/inland-empire/nvision-murrieta/?utm_source=organic&utm_medium=gmb&utm_campaign=website_gmb,
NVISION Eye Centers- Newport Beach,"4220 Von Karman Ave / Unit 100, Newport Beach, CA 92660",Newport Beach,CA,92660,Yes,No,2026-05-30,,2026-05-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12316743383,https://www.nvisioncenters.com/locations/newport-beach.html,
NVISION Eye Centers- Ontario,"3155-D Sedona Court / Suite 100, Ontario, CA 91764",Ontario,CA,91764,Yes,No,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16693300810,https://www.nvisioncenters.com/locations/Inland-empire/nvision-ontario/?utm_source=organic&utm_medium=gmb&utm_campaign=website_gmb,
OCLI New Haven County: Meriden,"1064 East Main Street, Meriden, CT 06450",Meriden,CT,06450,No,Yes,2026-05-01,2026-05-01,2026-05-01,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12039022452,https://www.ocli.net/locations/eye-doctor-in-new-haven-county-meriden/,Himakshi Bhatt
"OCLI VISION 711 Stewart Ave, Garden City","711 Stewart Ave / Suite 160W, Garden City, NY 11530",Garden City,NY,11530,Yes,Yes,2026-04-10,2026-04-20,2026-04-10,Moderate: facility/provider asset dates within 30 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15169406468,www.ocli.net,Gerard D'Aversa MD; Marguerite McDonald; Eric Donnenfeld; Raymond Mariani
OCLI Vision Stamford,"2777 Summer Street / Suite 212, Stamford, CT 06905",Stamford,CT,06905,No,Yes,2026-06-11,2026-06-11,2026-06-11,Strong: facility/provider asset dates within 7 days,4,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18603456496,https://www.ocli.net/locations/eye-doctor-in-fairfield-county-stamford/,Talia Shoshany
Oculare,"3715 Northside Parkway Northwest  Suite 220, Atlanta, GA 30327",Atlanta,GA,30327,No,Yes,2026-06-19,2026-06-19,2026-06-19,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14045864451,oculare.com,Gavin Cohen
Oklahoma Medical Eye Group,"224 South Gateway Place / Suite 101, Jenks, OK 74037",Jenks,OK,74037,No,Yes,,,,No public asset date available,0,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19188427761,https://www.omeg2020.com/,Michael Chamberlain
Oklahoma Medical Eye Group,"3400 Southeast Frank Phillips Boulevard, Bartlesville, OK 74006",Bartlesville,OK,74006,No,Yes,2026-05-14,,2026-05-14,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19183932059,https://www.omeg2020.com/eye-center/,
Oklahoma Medical Eye Group: S. Tulsa,"9999 South Mingo Road, Tulsa, OK 74133",Tulsa,OK,74133,No,Yes,2026-06-30,,2026-06-30,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19189377746,https://www.omeg2020.com/eye-center/south-tulsa/,
Omni Eye Services - Downwood Circle,"3200 Downwood Circle, Atlanta, GA 30327",Atlanta,GA,30327,Yes,Yes,2026-04-09,,2026-04-09,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16066605821,http://www.omnieyeatlanta.com/services/corneal-services/corneal-transplant/,Priya Patel MD; Niloufar Soltanian
Omni Eye Services - Iselin,"485 Route 1 South / Building A / Suite 100, Iselin, NJ 08830",Iselin,NJ,08830,No,Yes,2026-04-28,2026-04-28,2026-04-28,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17323132603,,George Veliky; Melanne Rosetta
Ophthalmic Consultants of Boston,"195 West Street, Waltham, MA 02451",Waltham,MA,02451,Yes,No,2026-04-15,2026-04-22,2026-04-15,Strong: facility/provider asset dates within 7 days,2,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16414183239,https://www.eyeboston.com/cornea/crosslinking/,Michael Raizman MD; Naveen Rao MD; Azin Abazari MD
Ophthalmic Consultants of Boston,"146 Industrial Park Road, Plymouth, MA 02360",Plymouth,MA,02360,Yes,Yes,2026-04-15,2026-04-22,2026-04-15,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19787562413,https://www.eyeboston.com/cornea/crosslinking/,Daniel Hu MD
Ophthalmic Consultants of Connecticut,"1375 Kings Highway, Fairfield, CT 06824",Fairfield,CT,06824,Yes,Yes,2026-04-10,2026-04-20,2026-04-10,Moderate: facility/provider asset dates within 30 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16624938971,,Eric Donnenfeld MD; James Thimons; Talia Shoshany
Ophthalmic Specialists of Michigan,"29201 Telegraph Rd / Ste 101, Southfield, MI 48034",Southfield,MI,48034,Yes,Yes,2026-04-28,,2026-04-28,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12486880813,https://osmich.com/locations/southfield/,
Ophthalmology Associates,"12990 Manchester Rd / Suite 200, St. Louis, MO 63131",St. Louis,MO,63131,No,Yes,2026-06-24,2026-06-24,2026-06-24,Strong: facility/provider asset dates within 7 days,1,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13148501245,https://www.youreyedoc.com/locations/ophthalmology-associates/?utm_source=gmb&utm_medium=yext,Gregg Berdy MD; Ranjan Malhotra MD; Robert Brusatti; Andrew Royer
Ophthalmology Surgery Center of Illinois,"1300 North Arlington Heights Road, Suite 150, Itasca, IL 60143",Itasca,IL,60143,Yes,No,2026-04-06,2026-04-06,2026-04-06,Strong: facility/provider asset dates within 7 days,2,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16302167705,,Kevin Kovach; AliNiazee Mateen; Marius Gradianu
Optima Medical Associates,"1229 B Street, Hayward, CA 94541",Hayward,CA,94541,No,Yes,2026-06-19,,2026-06-19,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15105925242,http://www.optimaeye.com,
OSU Optometry Services,"1664 Neil Avenue, Columbus, OH 43201",Columbus,OH,43201,No,Yes,2026-05-19,,2026-05-19,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16147146310,https://greatvision.osu.edu,
Palm Beach Eyes,"640 Boynton Beach Boulevard, Boynton Beach, FL 33426",Boynton Beach,FL,33426,No,Yes,2026-06-18,2026-06-18,2026-06-18,Strong: facility/provider asset dates within 7 days,2,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15618344391,https://visionsource-palmbeacheyes.com/,Greg Pientka; Michael Mann
Palm City Eye Care,"2660 Southwest Immanuel Drive, Palm City, FL 34990",Palm City,FL,34990,No,Yes,2026-07-09,2026-07-09,2026-07-09,Strong: facility/provider asset dates within 7 days,1,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17722797090,https://www.palmcityeye.com/,Jason Davis; Jessica Lund
Palo Alto Eyes Optometry,"540 University Avenue, Palo Alto, CA 94301",Palo Alto,CA,94301,No,Yes,2026-05-30,,2026-05-30,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16508997454,www.paloaltoeyes.net,
"Palo Alto Vision Optometry- Dr. Vivian Pham, OD","109 California Avenue, Palo Alto, CA 94306",Palo Alto,CA,94306,No,Yes,2026-05-30,,2026-05-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16509551095,www.paloaltovision.com,
Paradise Canyon Eye Care,"1449 1400 West Street, St. George, UT 84770",St. George,UT,84770,No,Yes,2026-06-02,2026-06-02,2026-06-02,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14359157962,https://paradiseeye.com,Joseph Fife OD
Parker Cornea,"3745 Corporate Woods Drive, Vestavia Hills, AL 35242",Vestavia Hills,AL,35242,Yes,No,2026-07-09,,2026-07-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12058310252,https://parkercornea.com/,
Parkhurst Nuvision,"9725 Datapoint Drive / Ste 106, San Antonio, TX 78229",San Antonio,TX,78229,Yes,No,2026-06-22,2026-06-22,2026-06-22,Strong: facility/provider asset dates within 7 days,2,4,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16892648373,https://sanantonio-lasik.com/,Lauren Libfraind; Darcy Seaton OD; Thomas Nettleton; Matthew Hirabayashi; Gregory Parkhurst; Anthony Vanrachack; Lucas Nguyen; Travis Parker
"Patrick McManamon, OD","633 West Germantown Pike, Plymouth Meeting, PA 19462",Plymouth Meeting,PA,19462,No,Yes,2026-05-08,2026-05-08,2026-05-08,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13366199187,,Patrick McManamon
Paul Hammond,"3601 West 76th St, Edina, MN 55435",Edina,MN,55435,No,Yes,2026-05-05,,2026-05-05,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17634964307,https://tcecmn.com,
Perfect Eye Care Brooklyn,"944 Ralph Avenue, Brooklyn, NY 11203",Brooklyn,NY,11203,No,Yes,2026-06-19,2026-06-19,2026-06-19,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14247881861,https://www.perfecteyecareny.com,Tatyana Galinsky
Personal Eyes AZ,"10619 Hayden Road, Scottsdale, AZ 85260",Scottsdale,AZ,85260,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16234006493,personaleyesaz.com,Ric Rios
Personal Eyes AZ,"15600 North Black Canyon Highway, Phoenix, AZ 85053",Phoenix,AZ,85053,No,Yes,2026-06-29,2026-06-29,2026-06-29,Strong: facility/provider asset dates within 7 days,2,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16507511196,https://personaleyesaz.com,Ric Rios; Achal Patel
Philadelphia Eye Associates,"1930 South Broad Street / Unit 9, Philadelphia, PA 19145",Philadelphia,PA,19145,Yes,Yes,2026-06-05,2026-06-05,2026-06-05,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13614018284,,Brad Feldman
Physicians Eye Care Center,"11055 Little Patuxent Parkway / Suite 105, Columbia, MD 21044",Columbia,MD,21044,Yes,No,2026-06-05,,2026-06-05,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+14104987929,https://www.physicianseyecare.com/specialties/cornea-and-external-disease/,
"PineCone Vision Center Dr. Trevor Fosso, OD, FAAO, FSLS","2180 Troop Drive, Sartell, MN 56377",Sartell,MN,56377,No,Yes,2026-04-30,,2026-04-30,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13203005330,https://www.pineconevisioncenter.com/,
Planet Vision Eyecare,"8755 Hypoluxo Road, Lake Worth, FL 33467",Lake Worth,FL,33467,No,Yes,2026-04-09,,2026-04-09,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15618166401,,Hetal Bhakta
Premier Medical Group West,"3701 Dauphin St, Mobile, AL 36608",Mobile,AL,36608,Yes,No,2026-06-24,,2026-06-24,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12515012682,https://premiermedicalgrp.com/,
Premier Vision Care Optometry,"25820 Lucille Avenue Suite 103, Lomita, CA 90717",Lomita,CA,90717,No,Yes,2026-06-05,,2026-06-05,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+15077647534,https://www.premiervisioncare.net,
Princeton Eye Group,"419 North Harrison St / Suite 209, Princeton, NJ 08540",Princeton,NJ,08540,No,Yes,2026-05-01,2026-05-01,2026-05-01,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16097459564,,Kevin Feng
Professional Eye Care at Westar,"584 North State Street, Westerville, OH 43082",Westerville,OH,43082,No,Yes,2026-05-29,2026-05-29,2026-05-29,Strong: facility/provider asset dates within 7 days,2,3,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+16147563118,https://www.westervilleeyedoctor.com,Isidoros Fragoulis; Caitlin Kelly; Jacob Olding
Pupila Eye Care,"12512 Memorial Drive / Ste A, Houston, TX 77024",Houston,TX,77024,Yes,Yes,2026-04-30,,2026-04-30,Facility asset only,5,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+17165894845,https://pupilaeyecare.com/eye-care-services,
Pupila Eye Care - Energy Corridor,"14634 Memorial Drive, Houston, TX 77079",Houston,TX,77079,No,Yes,2026-06-29,,2026-06-29,Facility asset only,1,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12815338905,https://pupilaeyecare.com/locations/energy-corridor/,
Pupila Family Eye Care,"132 Southmore Avenue, Pasadena, TX 77502",Pasadena,TX,77502,No,Yes,2026-06-29,,2026-06-29,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+12814073391,https://pupilaeyecare.com/locations/pasadena/,
Quinn Eye Center,"832 Northwest 57th Street, Gainesville, FL 32605",Gainesville,FL,32605,No,Yes,2026-05-14,2026-05-14,2026-05-14,Strong: facility/provider asset dates within 7 days,1,5,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+13526612646,https://www.quinneyecenter.com,Kevin Quinn; Rebecca Geering; Kenneth Parker; Shruti Desai; Lauren Chermak
Rainbow Optometry,"1183 East Foothill Boulevard Suite 140, Upland, CA 91786",Upland,CA,91786,No,Yes,2026-06-30,,2026-06-30,Facility asset only,2,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19094030819,www.rainbowoptometry.com,
Raleigh Ophthalmology,"2709 Blue Ridge Road, Suite 100, Raleigh, NC 27607",Raleigh,NC,27607,Yes,No,2026-05-20,2026-05-20,2026-05-20,Strong: facility/provider asset dates within 7 days,3,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19127582538,http://www.raleighop.com/north-carolina/cornea-center.htm,Patrick Laber MD
Rand Eye Institute,"5 West Sample Road, Pompano Beach, FL 33064",Pompano Beach,FL,33064,Yes,No,2026-07-09,2026-07-09,2026-07-09,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19548074892,https://www.randeye.com/,Allison Rand
Richard Chu,"3017 W 7th St / Suite 210, Fort Worth, TX 76107",Fort Worth,TX,76107,Yes,Yes,2026-05-12,,2026-05-12,Facility asset only,3,0,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18176469576,https://www.chuvision.com/keratoconus-minneapolis/corneal-cross-linking,Danny Mathews Dr.; Richard Chu Mr.; Lena Chu OD
Richard Chu,"3105 East Southlake Boulevard, Southlake, TX 76092",Southlake,TX,76092,No,Yes,2026-05-18,2026-05-18,2026-05-18,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18175876592,https://www.eyeworksgroup.com,Robert Chu Mr.
Richard Chu,"4631 South Hulen Street, Fort Worth, TX 76132",Fort Worth,TX,76132,No,Yes,2026-05-18,2026-05-18,2026-05-18,Strong: facility/provider asset dates within 7 days,1,1,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+18173830389,https://www.chuvision.com/procedures/cornea/corneal-collagen-crosslinking,Danny Mathews
Ridgeview Eye Care,"18208 West 119th Street, Olathe, KS 66061",Olathe,KS,66061,No,Yes,2026-06-16,2026-06-16,2026-06-16,Strong: facility/provider asset dates within 7 days,3,2,"Google Cloud Storage object timeCreated for Epioxa/Glaukos public facility and provider photo assets; proxy only, not official active date",+19134534386,ridgevieweyecare.com https://www.kansascontactlens.com/,Jacob Letourneau OD; Carrie Hartigan
